k_factors,factor_order,error_order,error_cov_type,fit_success,converged,aic,bic,llf,pass_ljung_box,pass_jarque_bera,pass_arch,diagnostics_passed_count,overall_pass,used_columns,fit_error,series_VIX_ljung_box_pvalue,series_VIX_jarque_bera_pvalue,series_VIX_arch_pvalue,series_VIX_pass_ljung_box,series_VIX_pass_jarque_bera,series_VIX_pass_arch,series_WTI_ljung_box_pvalue,series_WTI_jarque_bera_pvalue,series_WTI_arch_pvalue,series_WTI_pass_ljung_box,series_WTI_pass_jarque_bera,series_WTI_pass_arch,series_GOLD_ljung_box_pvalue,series_GOLD_jarque_bera_pvalue,series_GOLD_arch_pvalue,series_GOLD_pass_ljung_box,series_GOLD_pass_jarque_bera,series_GOLD_pass_arch,series_DXY_ljung_box_pvalue,series_DXY_jarque_bera_pvalue,series_DXY_arch_pvalue,series_DXY_pass_ljung_box,series_DXY_pass_jarque_bera,series_DXY_pass_arch
1,1,0,diagonal,True,True,45259.48682089675,45319.100238209896,-22620.743410448376,False,False,False,1,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,3.1427489991803386e-08,0.0,3.5106920200751716e-46,False,False,False,0.0,3.19536737856671e-203,0.0,False,False,False,0.0,3.0578387166265087e-12,0.0,False,False,False,0.0,5.0773369737151494e-64,0.0,False,False,False
1,1,0,unstructured,True,True,15194.05502818241,15293.410723704319,-7582.027514091205,False,False,False,1,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,1.25747984387079e-284,0.0,False,False,False,0.0,1.3952095330330749e-232,0.0,False,False,False,0.0,1.6239940888993464e-24,0.0,False,False,False,0.0,7.945966654786533e-69,0.0,False,False,False
1,1,1,diagonal,True,True,-57133.16760033677,-57047.05933088445,28579.583800168384,False,False,False,1,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,2.8975338536846195e-06,0.0,1.8894911561490304e-53,False,False,False,2.3010597408890688e-28,0.0,6.679770716137541e-86,False,False,False,0.8640039079725003,0.0,3.9362019250003345e-75,True,False,False,0.08676098517474498,0.0,4.970168428349751e-83,True,False,False
1,1,1,unstructured,False,False,,,,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']","could not broadcast input array from shape (4,) into shape (10,)",,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,diagonal,True,True,36640.20664539308,36706.44377574102,-18310.10332269654,False,False,False,1,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,4.676168536923373e-203,0.0,False,False,False,5.0470017412256204e-20,0.0,4.23683912836926e-40,False,False,False,0.0,6.877108661009298e-21,0.0,False,False,False,0.0,1.170259200752448e-71,0.0,False,False,False
1,2,0,unstructured,True,True,15191.314901340875,15297.294309897577,-7579.657450670437,False,False,False,1,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,7.207073312854487e-285,0.0,False,False,False,0.0,1.0134161746902625e-232,0.0,False,False,False,0.0,2.1920010990126958e-24,0.0,False,False,False,0.0,7.792830373524354e-69,0.0,False,False,False
1,2,1,diagonal,True,True,-57133.34887137992,-57040.61688889281,28580.67443568996,False,False,False,1,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,3.1926554721634877e-06,0.0,1.8015221905723279e-53,False,False,False,1.0461881374381388e-28,0.0,2.2627146086997558e-86,False,False,False,0.8152391887367068,0.0,6.4823823395932725e-75,True,False,False,0.10964705804497199,0.0,5.284772788313674e-83,True,False,False
1,2,1,unstructured,False,False,,,,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']","could not broadcast input array from shape (4,) into shape (10,)",,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,diagonal,True,False,-16428.357636338667,-16322.378227781965,8230.178818169334,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,False,False,False,0.9142495371213168,0.0,1.0106808406817416e-76,True,False,False,0.03818895991718332,0.0,6.191555632469759e-84,False,False,False
2,1,0,unstructured,True,False,33591.73683252654,33737.458519292006,-16773.86841626327,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,1.4578406656400045e-90,1.2715686415513006e-299,False,False,False,0.0,0.0,0.0,False,False,False,0.0,3.5393071279074424e-255,0.0,False,False,False,0.0,7.816373534254803e-246,0.0,False,False,False
2,1,1,diagonal,True,False,-32569.450916596812,-32436.976655900933,16304.725458298406,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,False,False,False,6.6005447070932136e-124,0.0,2.563578817490343e-125,False,False,False,6.502933839673118e-30,0.0,6.948239423109806e-86,False,False,False
2,1,1,unstructured,False,False,,,,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']","could not broadcast input array from shape (4,) into shape (10,)",,,,,,,,,,,,,,,,,,,,,,,,
2,2,0,diagonal,True,False,18505.05046250946,18637.52472320534,-9232.52523125473,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.00010227018039147024,0.0,1.7978225296574293e-45,False,False,False,3.269031308141779e-20,0.0,6.114453549089378e-39,False,False,False,0.0,2.6022515735437814e-10,0.0,False,False,False,0.0,5.5069234576305664e-102,0.0,False,False,False
2,2,0,unstructured,True,False,33707.930061084204,33880.146599988846,-16827.965030542102,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,1.8095214013422545e-250,0.0,False,False,False,0.0,6.735119114588353e-13,0.0,False,False,False,0.0,6.029415312962067e-143,0.0,False,False,False,0.0,1.5443143024022116e-41,0.0,False,False,False
2,2,1,diagonal,True,False,-4708.0517302908365,-4549.082617455782,2378.0258651454183,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']",,0.0,5.054742787473189e-277,0.0,False,False,False,0.0,4.9404549790916475e-287,0.0,False,False,False,3.857890645382803e-14,0.0,8.199083335115599e-74,False,False,False,0.0,4.787141339341367e-288,0.0,False,False,False
2,2,1,unstructured,False,False,,,,False,False,False,0,False,"['VIX', 'WTI', 'GOLD', 'DXY']","could not broadcast input array from shape (4,) into shape (10,)",,,,,,,,,,,,,,,,,,,,,,,,
