lag_periods,correlation,n_obs
-12,0.12218509497093548,242
-11,0.10245862528484856,243
-10,0.09550592887038759,244
-9,0.11145272265614035,245
-8,0.08191159649663868,246
-7,0.04727856390632234,247
-6,0.012698413342584619,248
-5,-0.02239681142095678,249
-4,-0.05769986213611711,250
-3,-0.08237659250708308,251
-2,-0.08969462439225394,252
-1,-0.10706215465813806,253
0,-0.10827985918939734,254
1,-0.013278591123455197,253
2,0.09630253590874567,252
3,0.15101008825009551,251
4,0.15185498163455982,250
5,0.14215174405470454,249
6,0.13611752085835144,248
7,0.14328881573973506,247
8,0.14556096798888457,246
9,0.12982460387750383,245
10,0.11392259995255836,244
11,0.10377112518796648,243
12,0.11394751522273845,242
