lag_periods,correlation,n_obs
-12,0.020634166155467717,241
-11,0.04198302915333053,242
-10,0.021098761999317713,243
-9,0.09097578545624264,244
-8,0.1558028785912186,245
-7,0.10104321557806147,246
-6,0.04612740295536754,247
-5,-0.06131246401774038,248
-4,0.023533251988313814,249
-3,0.04368231504816944,250
-2,0.05430168976765022,251
-1,-0.056809377087437864,252
0,-0.2823618339664267,253
1,-0.2896154042698912,252
2,-0.05913918457512662,251
3,0.17842337584166662,250
4,0.11376624683384103,249
5,0.02003129467889314,248
6,-0.10735009529335449,247
7,-0.10321663848632195,246
8,0.047552457789945685,245
9,0.05361715232957648,244
10,0.0018435260943752648,243
11,-0.029739903762571712,242
12,-0.02629260482904671,241
