lag_periods,correlation,n_obs
-12,0.3430867797151195,242
-11,0.34371992597375056,243
-10,0.345301970762821,244
-9,0.3463526144085668,245
-8,0.34449284115869583,246
-7,0.34152323725351,247
-6,0.3374972335527912,248
-5,0.3337268111863033,249
-4,0.33023866848324457,250
-3,0.3244580729884375,251
-2,0.31775396408684997,252
-1,0.3115548434115329,253
0,0.3047032923923256,254
1,0.319119331688439,253
2,0.3355185021134882,252
3,0.35157345161979936,251
4,0.3672190139306654,250
5,0.38043771912945074,249
6,0.394051834728479,248
7,0.4076615412136687,247
8,0.41899099702632936,246
9,0.4286994647338058,245
10,0.4367575571470869,244
11,0.44320811250889663,243
12,0.44781714397367295,242
